"animal_id","year_cap","event","wyey","dmp_pasture","birth_site","birth_year"
"270-2010-1-010",2016,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-010",2017,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-010",2018,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-010",2019,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-010",2020,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-013",2010,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-013",2011,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-013",2016,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-013",2017,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-013",2018,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-013",2019,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-014",2010,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-014",2011,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-014",2012,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-015",2010,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-019",2010,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-019",2011,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-019",2012,1,"west yana","dmp","west yana_dmp",2010
