"zero_indices","animal_id","birth_year","bs","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
FALSE,"270-2013-0-271",2013,"wy",0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1
FALSE,"270-2013-0-272",2013,"wy",0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
FALSE,"270-2013-1-202",2013,"dmp",0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
FALSE,"270-2013-1-204",2013,"dmp",0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
FALSE,"270-2013-1-205",2013,"dmp",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
FALSE,"270-2013-1-210",2013,"dmp",0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1
FALSE,"270-2013-1-212",2013,"dmp",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
FALSE,"270-2013-1-216",2013,"dmp",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
FALSE,"270-2013-1-217",2013,"dmp",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FALSE,"270-2013-1-225",2013,"dmp",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FALSE,"270-2013-1-227",2013,"dmp",0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
FALSE,"270-2013-1-230",2013,"dmp",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
FALSE,"270-2013-1-231",2013,"dmp",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
FALSE,"270-2013-1-232",2013,"dmp",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FALSE,"270-2013-1-234",2013,"dmp",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
FALSE,"270-2013-1-238",2013,"dmp",0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
FALSE,"270-2013-1-239",2013,"dmp",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
FALSE,"270-2013-1-242",2013,"dmp",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FALSE,"270-2013-1-246",2013,"dmp",0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
FALSE,"270-2013-1-249",2013,"dmp",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FALSE,"270-2013-1-252",2013,"dmp",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
FALSE,"270-2013-1-254",2013,"dmp",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
FALSE,"270-2013-1-256",2013,"dmp",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
FALSE,"270-2013-1-257",2013,"dmp",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FALSE,"270-2014-0-441",2014,"wy",0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
FALSE,"270-2014-0-442",2014,"wy",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FALSE,"270-2014-0-443",2014,"wy",0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
FALSE,"270-2014-0-444",2014,"wy",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
