"animal_id","date","year_cap","year_birth","cap_loc","rel_loc","sex","age","weight","dmp_past","B.C.Score","month","monthday","early.late"
"270-2016-1-608",2016-07-05,2016,2016,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-05",1
"270-2016-1-609",2016-07-07,2016,2016,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-07",1
"270-2016-1-610",2016-07-07,2016,2016,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-07",1
"270-2016-1-613",2016-07-07,2016,2016,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-07",1
"270-2016-1-615",2016-07-07,2016,2016,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-07",1
"270-2016-1-616",2016-07-07,2016,2016,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-07",1
"270-2016-1-618",2016-07-07,2016,2016,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-07",1
"270-2016-1-619",2016-07-08,2016,2016,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-08",1
"270-2016-1-620",2016-07-08,2016,2016,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-08",1
"270-2016-1-622",2016-07-08,2016,2016,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-08",1
"270-2016-1-624",2016-07-08,2016,2016,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-08",1
"270-2016-1-627",2016-07-11,2016,2016,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-11",1
"270-2016-1-628",2016-07-11,2016,2016,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-11",1
"270-2016-1-629",2016-07-11,2016,2016,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-11",1
"270-2016-1-630",2016-07-11,2016,2016,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-11",1
"270-2016-1-631",2016-07-11,2016,2016,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-11",1
"270-2016-1-632",2016-07-13,2016,2016,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-13",1
"270-2016-1-634",2016-07-18,2016,2016,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-18",1
"270-2016-1-637",2016-07-20,2016,2016,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-20",1
"270-2016-1-640",2016-07-26,2016,2016,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-26",1
"270-2016-1-642",2016-07-28,2016,2016,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-28",1
"270-2016-1-643",2016-07-28,2016,2016,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-28",1
"270-2017-1-703",2017-07-03,2017,2017,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-03",1
"270-2017-1-704",2017-07-03,2017,2017,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-03",1
"270-2017-1-707",2017-07-05,2017,2017,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-05",1
"270-2017-1-709",2017-07-07,2017,2017,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-07",1
"270-2017-1-710",2017-07-07,2017,2017,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-07",1
"270-2017-1-711",2017-07-07,2017,2017,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-07",1
"270-2017-1-713",2017-07-07,2017,2017,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-07",1
"270-2017-1-714",2017-07-07,2017,2017,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-07",1
"270-2017-1-717",2017-07-10,2017,2017,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-10",1
"270-2017-1-719",2017-07-10,2017,2017,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-10",1
"270-2017-1-720",2017-07-10,2017,2017,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-10",1
"270-2017-1-721",2017-07-10,2017,2017,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-10",1
"270-2017-1-722",2017-07-12,2017,2017,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-12",1
"270-2017-1-726",2017-07-20,2017,2017,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-20",1
"270-2017-1-729",2017-07-21,2017,2017,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-21",1
"270-2017-1-733",2017-07-25,2017,2017,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-25",1
"270-2017-1-736",2017-08-02,2017,2017,"West Yana","West Yana","Male",0.1,"","DMP",NA,"august","08-02",2
"270-2017-1-737",2017-08-04,2017,2017,"West Yana","West Yana","Male",0.1,"","DMP",NA,"august","08-04",2
"270-2017-1-738",2017-08-09,2017,2017,"West Yana","West Yana","Male",0.1,"","DMP",NA,"august","08-09",2
"270-2017-1-739",2017-08-09,2017,2017,"West Yana","West Yana","Male",0.1,"","DMP",NA,"august","08-09",2
"270-2018-1-802",2018-06-25,2018,2018,"West Yana","West Yana","Male",0.1,"","DMP",NA,"june","06-25",1
"270-2018-1-804",2018-06-26,2018,2018,"West Yana","West Yana","Male",0.1,"","DMP",NA,"june","06-26",1
"270-2018-1-805",2018-07-02,2018,2018,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-02",1
"270-2018-1-806",2018-07-02,2018,2018,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-02",1
"270-2018-1-808",2018-07-03,2018,2018,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-03",1
"270-2018-1-815",2018-07-09,2018,2018,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-09",1
"270-2018-1-817",2018-07-09,2018,2018,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-09",1
"270-2018-1-818",2018-07-09,2018,2018,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-09",1
"270-2018-1-822",2018-07-09,2018,2018,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-09",1
