animal_id,date,year_cap,year_birth,cap_loc,rel_loc,sex,age,weight,dmp_past,B.C.Score,month
270-2016-1-613,7/7/2016,2016,2016,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2016-1-615,7/7/2016,2016,2016,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2016-1-616,7/7/2016,2016,2016,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2016-1-618,7/7/2016,2016,2016,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2016-1-619,7/8/2016,2016,2016,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2016-1-620,7/8/2016,2016,2016,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2016-1-622,7/8/2016,2016,2016,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2016-1-624,7/8/2016,2016,2016,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2016-1-627,7/11/2016,2016,2016,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2016-1-628,7/11/2016,2016,2016,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2016-1-629,7/11/2016,2016,2016,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2016-1-630,7/11/2016,2016,2016,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2016-1-631,7/11/2016,2016,2016,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2016-1-632,7/13/2016,2016,2016,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2016-1-634,7/18/2016,2016,2016,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2016-1-637,7/20/2016,2016,2016,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2016-1-640,7/26/2016,2016,2016,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2016-1-642,7/28/2016,2016,2016,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2016-1-643,7/28/2016,2016,2016,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2017-1-703,7/3/2017,2017,2017,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2017-1-704,7/3/2017,2017,2017,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2017-1-707,7/5/2017,2017,2017,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2017-1-709,7/7/2017,2017,2017,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2017-1-710,7/7/2017,2017,2017,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2017-1-711,7/7/2017,2017,2017,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2017-1-713,7/7/2017,2017,2017,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2017-1-714,7/7/2017,2017,2017,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2017-1-717,7/10/2017,2017,2017,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2017-1-719,7/10/2017,2017,2017,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2017-1-720,7/10/2017,2017,2017,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2017-1-721,7/10/2017,2017,2017,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2017-1-722,7/12/2017,2017,2017,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2017-1-726,7/20/2017,2017,2017,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2017-1-729,7/21/2017,2017,2017,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2017-1-733,7/25/2017,2017,2017,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2017-1-736,8/2/2017,2017,2017,West Yana,West Yana,Male,0.1,,DMP,NA,august
270-2017-1-737,8/4/2017,2017,2017,West Yana,West Yana,Male,0.1,,DMP,NA,august
270-2017-1-738,8/9/2017,2017,2017,West Yana,West Yana,Male,0.1,,DMP,NA,august
270-2017-1-739,8/9/2017,2017,2017,West Yana,West Yana,Male,0.1,,DMP,NA,august
270-2018-1-802,6/25/2018,2018,2018,West Yana,West Yana,Male,0.1,,DMP,NA,june
270-2018-1-804,6/26/2018,2018,2018,West Yana,West Yana,Male,0.1,,DMP,NA,june
270-2018-1-805,7/2/2018,2018,2018,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2018-1-806,7/2/2018,2018,2018,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2018-1-808,7/3/2018,2018,2018,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2018-1-815,7/9/2018,2018,2018,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2018-1-817,7/9/2018,2018,2018,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2018-1-818,7/9/2018,2018,2018,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2018-1-822,7/9/2018,2018,2018,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2018-1-823,7/9/2018,2018,2018,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2018-1-824,7/11/2018,2018,2018,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2018-1-825,7/11/2018,2018,2018,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2018-1-826,7/11/2018,2018,2018,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2018-1-827,7/11/2018,2018,2018,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2018-1-831,7/13/2018,2018,2018,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2018-1-832,7/13/2018,2018,2018,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2018-1-834,7/18/2018,2018,2018,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2018-1-835,7/20/2018,2018,2018,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2018-1-837,7/30/2018,2018,2018,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2018-1-839,8/14/2018,2018,2018,West Yana,West Yana,Male,0.1,,DMP,NA,august
270-2019-1-901,6/25/2019,2019,2019,West Yana,West Yana,Male,0.1,9 lbs 6 oz,DMP,NA,june
270-2019-1-903,6/27/2019,2019,2019,West Yana,West Yana,Male,0.1,10 lbs 10 oz,DMP,NA,june
270-2019-1-905,6/27/2019,2019,2019,West Yana,West Yana,Male,0.1,6 lbs 5 oz,DMP,NA,june
270-2019-1-907,6/27/2019,2019,2019,West Yana,West Yana,Male,0.1,7 lbs 10 oz,DMP,NA,june
270-2019-1-908,6/29/2019,2019,2019,West Yana,West Yana,Male,0.1,8 lbs   ,DMP,NA,june
270-2019-1-909,6/29/2019,2019,2019,West Yana,West Yana,Male,0.1,8 lbs 3 oz,DMP,NA,june
270-2019-1-911,6/29/2019,2019,2019,West Yana,West Yana,Male,0.1,7 lbs 8 oz,DMP,NA,june
270-2019-1-916,7/2/2019,2019,2019,West Yana,West Yana,Male,0.1,6 lbs 3 oz,DMP,NA,july
270-2019-1-917,7/2/2019,2019,2019,West Yana,West Yana,Male,0.1,6 lbs,DMP,NA,july
270-2019-1-920,7/5/2019,2019,2019,West Yana,West Yana,Male,0.1,6 lbs 15 oz,DMP,NA,july
270-2019-1-923,7/5/2019,2019,2019,West Yana,West Yana,Male,0.1,8 lbs 10 oz,DMP,NA,july
270-2019-1-924,7/5/2019,2019,2019,West Yana,West Yana,Male,0.1,7 lbs 1 oz,DMP,NA,july
270-2019-1-927,7/10/2019,2019,2019,West Yana,West Yana,Male,0.1,12 lbs 5 oz,DMP,NA,july
270-2019-1-929,7/12/2019,2019,2019,West Yana,West Yana,Male,0.1,5 lbs 10 oz,DMP,NA,july
270-2019-1-930,7/15/2019,2019,2019,West Yana,West Yana,Male,0.1,6 lbs 5 oz,DMP,NA,july
270-2019-1-932,7/19/2019,2019,2019,West Yana,West Yana,Male,0.1,7 lbs 9 oz,DMP,NA,july
270-2019-1-933,7/19/2019,2019,2019,West Yana,West Yana,Male,0.1,7 lbs 15 oz,DMP,NA,july
